code;libelle
1381;Résultat de fusion,
1382;Résultat d'apport partiel d'actif
1383;Résultat de scission
1384;Résultat de liquidation
139;RESULTAT NET : PERTE
14;Subventions d'investissement
141;SUBVENTIONS D'EQUIPEMENT
1411;Etat
1412;Régions
1413;Départements
1414;Communes et collectivités publiques décentralisées
1415;Entités publiques ou mixtes
1416;Entreprises et organismes privés
1417;Organismes internationaux
1418;Autres
148;AUTRES SUBVENTIONS D'INVESTISSEMENT
15;Provisions réglementées et fonds assimilés
151;AMORTISSEMENTS DEROGATOIRES
152;PLUS-VALUES DE CESSION A REINVESTIR
153;FONDS REGLEMENTES
1531;Fonds national
1532;Prélèvement pour le Budget
154;PROVISION SPECIALE DE REEVALUATION
155;PROVISIONS REGLEMENTEES RELATIVES AUX IMMOBILISATIONS
1551;Reconstitution des gisements miniers et pétroliers
156;PROVISIONS REGLEMENTEES RELATIVES AUX STOCKS
1561;Hausse de prix
1562;Fluctuation des cours
157;PROVISIONS POUR INVESTISSEMENT
158;AUTRES PROVISIONS ET FONDS REGLEMENTES
16;Emprunts et dettes assimilées
161;EMPRUNTS OBLIGATAIRES
1611;Emprunts obligataires ordinaires
1612;Emprunts obligataires convertibles en actions
1613;Emprunts obligataires remboursables en actions
1618;Autres emprunts obligataires
162;EMPRUNTS ET DETTES AUPRES DES ETABLISSEMENTS DE CREDIT
163;AVANCES REÇUES DE L'ETAT
164;AVANCES REÇUES ET COMPTES COURANTS BLOQUES
165;DEPÔTS ET CAUTIONNEMENTS REÇUS
1651;Dépôts
1652;Cautionnements
166;INTERÊTS COURUS
1661;sur emprunts obligataires
1662;sur emprunts et dettes auprès des établissements de crédit
1663;sur avances reçues de l'Etat
1664;sur avances reçues et comptes courants bloqués
1665;sur dépôts et cautionnements reçus
1667;sur avances assorties de conditions particulières
1668;sur autres emprunts et dettes
167;AVANCES ASSORTIES DE CONDITIONS PARTICULIERES
1671;Avances bloquées pour augmentation du capital
1672;Avances conditionnées par l'Etat
1673;Avances conditionnées par les autres organismes africains
1674;Avances conditionnées par les organismes internationaux
1676;Droits du concédant exigibles en nature
168;AUTRES EMPRUNTS ET DETTES
1681;Rentes viagères capitalisées
1682;Billets de fonds
1683;Dettes consécutives à des titres empruntés
1685;Emprunts participatifs
1686;Participation des travailleurs aux bénéfices
17;Dettes de location acquisition
172;DETTES DE LOCATION ACQUISITION/CREDIT – BAIL IMMOBILIER
173;DETTES DE LOCATION ACQUISITION/ CREDIT – BAIL MOBILIER
174;DETTES DE LOCATION ACQUISITION /LOCATION VENTE
176;INTERÊTS COURUS
1762;sur dettes de location acquisition/crédit-bail immobilier
1763;sur dettes de location acquisition/crédit-bail mobilier
1764;sur dettes de location acquisition/location vente
1768;sur autres dettes de location acquisition
178;DETTES D'AUTRES CONTRATS DE LOCATION ACQUISITION
18;Dettes liées à des participations et comptes de liaison des établissements et sociétés en participation
181;DETTES LIEES A DES PARTICIPATIONS
1811;Dettes liées à des participations (groupe)
1812;Dettes liées à des participations (hors groupe)
182;DETTES LIEES A DES SOCIETES EN PARTICIPATION
183;INTERÊTS COURUS SUR DETTES LIEES A DES PARTICIPATIONS
184;COMPTES PERMANENTS BLOQUES DES ETABLISSEMENTS ET SUCCURSALES
185;COMPTES PERMANENTS NON BLOQUES DES ETABLISSEMENTS ET SUCCURSALES
186;COMPTES DE LIAISON CHARGES
187;COMPTES DE LIAISON PRODUITS
188;COMPTES DE LIAISON DES SOCIETES EN PARTICIPATION
19;Provisions pour risques et charges
191;PROVISIONS POUR LITIGES
192;PROVISIONS POUR GARANTIES DONNEES AUX CLIENTS
193;PROVISIONS POUR PERTES SUR MARCHES A ACHEVEMENT FUTUR
194;PROVISIONS POUR PERTES DE CHANGE
195;PROVISIONS POUR IMPÔTS
196;PROVISIONS POUR PENSIONS ET OBLIGATIONS SIMILAIRES
1961;Provisions pour pensions et obligations similaires – engagement de retraite
1962;Actif du régime de retraite
197;PROVISIONS POUR RESTRUCTURATION
198;AUTRES PROVISIONS POUR RISQUES ET CHARGES
1981;Provisions pour amendes et pénalités
1983;Provisions de propre assureur
1984;Provisions pour démantèlement et remise en état
1985;Provisions de droits à déduction (Chèques cadeau, cartes de fidélité…)
1988;Autres provisions pour risques et charges
2;COMPTES D'ACTIF IMMOBILISÉ
21;Immobilisations incorporelles
211;FRAIS DE DEVELOPPEMENT
212;BREVETS, LICENCES, CONCESSIONS ET DROITS SIMILAIRES
2121;Brevets
2122;Licences
2123;Concessions de service public
2128;Autres concessions et droits similaires
213;LOGICIELS ET SITES INTERNET
2131;Logiciels
2132;Sites internet
214;MARQUES
215;FONDS COMMERCIAL
216;DROIT AU BAIL
217;INVESTISSEMENTS DE CREATION
218;AUTRES DROITS ET VALEURS INCORPORELS
2181;Frais de prospection et d'évaluation de ressources minérales
2182;Coûts d'obtention du contrat
2183;Fichiers clients, notices, titres de journaux et magazines
2188;Divers droits et valeurs incorporelles
219;IMMOBILISATIONS INCORPORELLES EN COURS
2191;Frais de développement
2193;Logiciels
2198;Autres droits et valeurs incorporels
22;Terrains
221;TERRAINS AGRICOLES ET FORESTIERS
2211;Terrains d'exploitation agricole
2212;Terrains d'exploitation forestière
2218;Autres terrains
222;TERRAINS NUS
2221;Terrains à bâtir
2228;Autres terrains nus
223;TERRAINS BÂTIS
2231;pour bâtiments industriels et agricoles
2232;pour bâtiments administratifs et commerciaux
2234;pour bâtiments affectés aux autres opérations professionnelles
2235;pour bâtiments affectés aux autres opérations non professionnelles
2238;Autres terrains bâtis
224;TRAVAUX DE MISE EN VALEUR DES TERRAINS
2241;Plantations d'arbres et d'arbustes
2245;Améliorations du fonds
2248;Autres travaux
225;TERRAINS CARRIERES TREFONDS
2251;Carrières
226;TERRAINS AMENAGES
2261;Parkings
227;TERRAINS MIS EN CONCESSION
228;AUTRES TERRAINS
2281;Terrains des immeubles de placement
2285;Terrains des logements affectés au personnel
2286;Terrain location-acquisition
2288;Autres
229;AMENAGEMENTS DE TERRAINS EN COURS
2291;Terrains agricoles et forestiers
2292;Terrains nus
2295;Terrains de carrières – tréfonds
2298;Autres terrains
23;Bâtiments, installations techniques et agencements
231;BÂTIMENTS INDUSTRIELS, AGRICOLES, ADMINISTRATIFS ET COMMERCIAUX SUR SOL PROPRE
2311;Bâtiments industriels
2312;Bâtiments agricoles
2313;Bâtiments administratifs et commerciaux
2314;Bâtiments affectés au logement du personnel
2315;Immeubles de placement
2316;Bâtiments de location acquisition
232;BÂTIMENTS INDUSTRIELS AGRICOLES, ADMINISTRATIFS ET COMMERCIAUX SUR SOL D'AUTRUI
2321;Bâtiments industriels
2322;Bâtiments agricoles
2323;Bâtiments administratifs et commerciaux
2324;Bâtiments affectés au logement du personnel
2325;Immeubles de placement
2326;Bâtiment de location-acquisition
233;OUVRAGES D'INFRASTRUCTURE
2331;Voies de terre
2332;Voies de fer
2333;Voies d'eau
2334;Barrages, Digues
2335;Pistes d'aérodrome
2338;Autres
234;INSTALLATIONS TECHNIQUES
2341;Installations complexes spécialisées sur sol propre
2342;Installations complexes spécialisées sur sol d'autrui
2343;Installations à caractère spécifique sur sol propre
2344;Installations à caractère spécifique sur sol d'autrui
2345;Aménagements et agencements des bâtiments
235;AMENAGEMENTS DE BUREAUX
2351;Installations générales
2358;Autres
237;BÂTIMENTS INDUSTRIELS, AGRICOLES ET COMMERCIAUX MIS EN CONCESSION
238;AUTRES INSTALLATIONS ET AGENCEMENTS
239;BÂTIMENTS ET INSTALLATIONS EN COURS
2391;Bâtiments en cours
2392;Installations en cours
2393;Aménagements et agencements
24;Matériel, Mobilier et Actifs biologiques
241;MATERIEL ET OUTILLAGE INDUSTRIEL ET COMMERCIAL
2411;Matériel industriel
2412;Outillage industriel
2413;Matériel commercial
2414;Outillage commercial
2416;Matériel et outillage de location acquisition
242;MATERIEL ET OUTILLAGE AGRICOLE
2421;Matériel agricole
2422;Outillage agricole
2426;Matériel et outillage agricole de location – acquisition
243;MATERIEL D'EMBALLAGE RECUPERABLE ET IDENTIFIABLE
244;MATERIEL ET MOBILIER
2441;Matériel de bureau
2442;Matériel informatique
2443;Matériel bureautique
2444;Mobilier de bureau
2446;Matériel et mobilier de location – acquisition
2447;Matériel et mobilier des logements affectés au personnel
245;MATERIEL DE TRANSPORT
2451;Matériel automobile
2452;Matériel ferroviaire
2453;Matériel fluvial, lagunaire
2454;Matériel naval
2455;Matériel aérien
2456;Matériel de transport de location-acquisition
2457;Matériel hippomobile
2458;Autres (vélo, mobylette, moto)
246;ACTIFS BIOLOGIQUES
2461;Cheptel, animaux de trait
2462;Cheptel, animaux reproducteurs
2463;Animaux de garde
2465;Plantations agricoles
2468;Autres
247;AGENCEMENTS, AMENAGEMENTS DU MATERIEL ET ACTIFS BIOLOGIQUES
2471;Agencements et aménagements du matériel
2472;Agencements et aménagements des actifs biologiques
248;AUTRES MATERIELS ET MOBILIERS
2481;Collections et œuvres d'art
249;MATERIEL ET ACTIFS BIOLOGIQUES EN COURS
2491;Matériel et outillage industriel et commercial
2492;Matériel et outillage agricole
2493;Matériel d'emballage récupérable et identifiable
2494;Matériel et mobilier de bureau
2495;Matériel de transport
2496;Actifs biologiques
2497;Agencements et aménagements du matériel et des actifs biologiques
2498;Autres matériels
25;Avances et acomptes versés sur immobilisations
251;AVANCES ET ACOMPTES VERSÉS SUR IMMOBILISATIONS INCORPORELLES
252;AVANCES ET ACOMPTES VERSÉS SUR IMMOBILISATIONS CORPORELLES
26;Titres de participation
261;TITRES DE PARTICIPATION DANS DES SOCIETES SOUS CONTRÔLE EXCLUSIF
262;TITRES DE PARTICIPATION DANS DES SOCIETES SOUS CONTRÔLE CONJOINT
263;TITRES DE PARTICIPATION DANS DES SOCIETES CONFERANT UNE INFLUENCE NOTABLE
265;PARTICIPATIONS DANS DES ORGANISMES PROFESSIONNELS
266;PARTS DANS DES GROUPEMENTS D'INTERÊT ECONOMIQUE (G.I.E.)
268;AUTRES TITRES DE PARTICIPATION
27;Autres immobilisations financières
271;PRÊTS ET CREANCES
2711;Prêts participatifs
2712;Prêts aux associés
2713;Billets de fonds
2714;Créances de location financement
2715;Titres prêtés
272;PRÊTS AU PERSONNEL
2721;Prêts immobiliers
2722;Prêts mobiliers et d'installation
2728;Autres prêts (frais d'études)
273;CREANCES SUR L'ETAT
2731;Retenues de garantie
2733;Fonds réglementé
2734;Créances sur le concédant
2738;Autres
274;TITRES IMMOBILISES
2741;Titres immobilisés de l'activité de portefeuille (T.I.A.P.)
2742;Titres participatifs
2743;Certificats d'investissement
2744;Parts de fonds commun de placement (F.C.P.)
2745;Obligations
2746;Actions ou parts propres
2748;Autres titres immobilisés
275;DEPÔTS ET CAUTIONNEMENTS VERSES
2751;Dépôts pour loyers d'avance
2752;Dépôts pour l'électricité
2753;Dépôts pour l'eau
2754;Dépôts pour le gaz
2755;Dépôts pour le téléphone, le télex, la télécopie
2756;Cautionnements sur marchés publics
2757;Cautionnements sur autres opérations
2758;Autres dépôts et cautionnements
276;INTERÊTS COURUS
2761;Prêts et créances non commerciales
2762;Prêts au personnel
2763;Créances sur l'Etat
2764;Titres immobilisés
2765;Dépôts et cautionnements versés
2766;Créances de location financement
2767;Créances rattachées à des participations
2768;Immobilisations financières diverses
277;CREANCES RATTACHEES A DES PARTICIPATIONS ET AVANCES A DES G.I.E
2771;Créances rattachées à des participations (groupe)
2772;Créances rattachées à des participations (hors groupe)
2773;Créances rattachées à des sociétés en participation
2774;Avances à des groupements d'intérêt économique (G.I.E.)
278;IMMOBILISATIONS FINANCIERES DIVERSES
2781;Créances diverses groupe
2782;Créances diverses hors groupe
2784;Banques dépôt à terme
2785;Or et métaux précieux
28;Amortissements
281;AMORTISSEMENTS DES IMMOBILISATIONS INCORPORELLES
2811;Amortissements des frais de développement
2812;Amortissements des brevets, licences, concessions et droits similaires
2813;Amortissements des logiciels et sites internet
2814;Amortissements des marques
2815;Amortissements du fonds commercial
2816;Amortissements du droit au bail
2817;Amortissements des investissements de création
2818;Amortissements des autres droits et valeurs incorporels
282;AMORTISSEMENTS DES TERRAINS
2821;Amortissements des terrains agricoles et forestiers
2824;Amortissements des travaux de mise en valeur des terrains
2825;Amortissements des terrains de gisement
283;AMORTISSEMENTS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS
2831;Amortissements des bâtiments industriels, agricoles, administratifs et commerciaux sur sol propre
2832;Amortissements des bâtiments industriels, agricoles, administratifs et commerciaux sur sol d'autrui
2833;Amortissements des ouvrages d'infrastructure
2834;Amortissements des aménagements, agencements et installations techniques
2835;Amortissements des aménagements de bureaux
2837;Amortissements de bâtiments industriels, agricoles et commerciaux mis en concession
2838;Amortissements des autres installations et agencements
284;AMORTISSEMENTS DU MATERIEL
2841;Amortissements du matériel et outillage industriel et commercial
2842;Amortissements du matériel et outillage agricole
2843;Amortissements du matériel d'emballage récupérable et identifiable
2844;Amortissements du matériel et mobilier
2845;Amortissements du matériel de transport
2846;Amortissements des actifs biologiques
2847;Amortissements des agencements et aménagements du matériel et des actifs biologiques
2848;Amortissements des autres matériels
29;Dépréciations
291;DEPRECIATIONS DES IMMOBILISATIONS NCORPORELLES
2911;Dépréciations des frais de développement
2912;Dépréciations des brevets, licences, marques concessions et droits similaires
2913;Dépréciations des logiciels et sites internet
2914;Dépréciations des marques
2915;Dépréciations du fonds commercial
2916;Dépréciations du droit au bail
2917;Dépréciations des investissements de création
2918;Dépréciations des autres droits et valeurs incorporels
2919;Dépréciations des immobilisations incorporelles en cours
292;DEPRECIATIONS DES TERRAINS
2921;Dépréciations des terrains agricoles et forestiers
2922;Dépréciations des terrains nus
2923;Dépréciations des terrains bâtis
2924;Dépréciations des travaux de mise en valeur des terrains
2925;Dépréciations des terrains de gisement
2926;Dépréciations des terrains aménagés
2927;Dépréciations des terrains mis en concession
2928;Dépréciations des autres terrains
2929;Dépréciations des aménagements de terrains en cours
293;DEPRECIATIONS DES BÂTIMENTS, INSTALLATIONS TECHNIQUES ET AGENCEMENTS
2931;Dépréciations des bâtiments industriels, agricoles, administratifs et commerciaux sur sol propre
2932;Dépréciations des bâtiments industriels, agricoles, administratifs et commerciaux sur sol d'autrui
2933;Dépréciations des ouvrages d'infrastructures
2934;Dépréciations des aménagements, agencements et installations techniques
2935;Dépréciations des aménagements de bureaux
2937;Dépréciations des bâtiments industriels, agricoles et commerciaux mis en concession
2938;Dépréciations des autres installations et agencements
2939;Dépréciations des bâtiments et installations en cours
294;DEPRECIATIONS DU MATERIEL, DU MOBILIER ET DE L'ACTIF BIOLOGIQUE
2941;Dépréciations du matériel et outillage industriel et commercial
2942;Dépréciations du matériel et outillage agricole
2943;Dépréciations du matériel d'emballage récupérable et identifiable
2944;Dépréciations du matériel et mobilier
2945;Dépréciations du matériel de transport
2946;Dépréciations des actifs biologiques
2947;Dépréciations des agencements et aménagements du matériel et des actifs biologiques
2948;Dépréciations des autres matériels
2949;Dépréciations du matériel en cours
295;DEPRECIATIONS DES AVANCES ET ACOMPTES VERSES SUR IMMOBILISATIONS
2951;Dépréciations des avances et acomptes versés sur immobilisations incorporelles
2952;Dépréciations des avances et acomptes versés sur immobilisations corporelles
296;DEPRECIATIONS DES TITRES DE PARTICIPATION
2961;Dépréciations des titres de participation dans des sociétés sous contrôle exclusif
2962;Dépréciations des titres de participation dans les sociétés sous contrôle conjoint
2963;Dépréciations des titres de participation dans les sociétés conférant une influence notable
2965;Dépréciations des participations dans des organismes professionnels
2966;Dépréciations des parts dans des G.I.E
2968;Dépréciations des autres titres de participation
297;DEPRECIATIONS DES AUTRES IMMOBILISATIONS FINANCIERES
2971;Dépréciations des prêts et créances
2972;Dépréciations des prêts au personnel
2973;Dépréciations des créances sur l'Etat
2974;Dépréciations des titres immobilisés
2975;Dépréciations des dépôts et cautionnements versés
2977;Dépréciations des créances rattachées à des participations et avances à des G.I.E
2978;Dépréciations des créances financières diverses
3;COMPTES DE STOCKS
31;Marchandises
311;MARCHANDISES A
3111;Marchandises A1
3112;Marchandises A2
312;MARCHANDISES B
3121;Marchandises B1
3122;Marchandises B2
318;MARCHANDISES HORS ACTIVITES ORDINAIRES (H.A.O.)
32;Matières premières et fournitures liées
321;MATIERES A
322;MATIERES B
323;FOURNITURES (A, B)
33;AUTRES APPROVISIONNEMENTS
331;MATIERES CONSOMMABLES
333;FOURNITURES DE MAGASIN
334;FOURNITURES DE BUREAU
335;EMBALLAGES
3351;Emballages perdus
3352;Emballages récupérables non identifiables
3353;Emballages à usage mixte
3358;Autres emballages
338;AUTRES MATIERES
34;Produits en cours
341;PRODUITS EN COURS
3411;Produits en cours P1
3412;Produits en cours P2
342;TRAVAUX EN COURS
3421;Travaux en cours T1
3422;Travaux en cours T2
343;PRODUITS INTERMEDIAIRES EN COURS
3431;Produits intermédiaires A
3432;Produits intermédiaires B
344;PRODUITS RESIDUELS EN COURS
3441;Produits résiduels A
3442;Produits résiduels B
35;Services en cours
351;ETUDES EN COURS
3511;Etudes en cours E1
3512;Etudes en cours E2
352;PRESTATIONS DE SERVICES EN COURS
3521;Prestations de services S1
3522;Prestations de services S2
36;Produits finis
361;PRODUITS FINIS A
362;PRODUITS FINIS B
37;Produits intermédiaires et résiduels
371;PRODUITS INTERMEDIAIRES
3711;Produits intermédiaires A
3712;Produits intermédiaires B
372;PRODUITS RESIDUELS
3721;Déchets
3722;Rebuts
3723;Matières de récupération
38;Stocks en cours de route, en consignation ou en dépôt
381;MARCHANDISES EN COURS DE ROUTE
382;MATIERES PREMIERES ET FOURNITURES LIEES EN COURS DE ROUTE
383;AUTRES APPROVISIONNEMENTS EN COURS DE ROUTE
386;PRODUITS FINIS EN COURS DE ROUTE
387;STOCK EN CONSIGNATION OU EN DEPÔT
3871;Stock en consignation
3872;Stock en dépôt
388;STOCK PROVENANT D'IMMOBILISATIONS MISES HORS SERVICE OU AU REBUT
39;Dépréciations des stocks et encours de production
391;DEPRECIATIONS DES STOCKS DE MARCHANDISES
392;DEPRECIATIONS DES STOCKS DE MATIERES PREMIERES ET FOURNITURES LIEES
393;DEPRECIATIONS DES STOCKS D'AUTRES APPROVISIONNEMENTS
394;DEPRECIATIONS DES PRODUITS EN COURS
395;DEPRECIATIONS DES SERVICES EN COURS
396;DEPRECIATIONS DES STOCKS DE PRODUITS FINIS
397;DEPRECIATIONS DES STOCKS DE PRODUITS INTERMEDIAIRES ET RESIDUELS
398;DEPRECIATIONS DES STOCKS EN COURS DE ROUTE, EN CONSIGNATION OU EN DEPÔT
4;COMPTES DE TIERS
40;Fournisseurs et comptes rattachés
401;FOURNISSEURS, DETTES EN COMPTE
4011;Fournisseurs
4012;Fournisseurs-Groupe
4013;Fournisseurs sous-traitants
4017;Fournisseurs, retenues de garantie
402;FOURNISSEURS, EFFETS A PAYER
4021;Fournisseurs, Effets à payer
4022;Fournisseurs-Groupe, Effets à payer
4023;Fournisseurs sous-traitants, Effets à payer
408;FOURNISSEURS, FACTURES NON PARVENUES
4081;Fournisseurs
4082;Fournisseurs-Groupe
4083;Fournisseurs sous-traitants
4086;Fournisseurs, intérêts courus
409;FOURNISSEURS DEBITEURS
4091;Fournisseurs, avances et acomptes versés
4092;Fournisseurs-Groupe, avances et acomptes versés
4093;Fournisseurs sous-traitants, avances et acomptes versés
4094;Fournisseurs, créances pour emballages et matériels à rendre
4098;Rabais, Remises, Ristournes et autres avoirs à obtenir
41;Clients et comptes rattachés
411;CLIENTS
4111;Clients
4112;Clients-Groupe
4114;Clients, Etat et collectivités publiques
4115;Clients, organismes internationaux
4116;Clients ventes avec réserves de propriété
4117;Clients, retenues de garantie
4118;Clients, dégrèvements de Taxes sur la Valeur Ajoutée (T.V.A.)
412;CLIENTS, EFFETS A RECEVOIR EN PORTEFEUILLE
4121;Clients, Effets à recevoir
4122;Clients-Groupe, Effets à recevoir
4124;Etat et collectivités publiques, Effets à recevoir
4125;Organismes internationaux, Effets à recevoir
4126;clients ventes avec réserves de propriété, effets à recevoir
414;CREANCES SUR CESSIONS COURANTES D'IMMOBILISATIONS
4141;Créances en compte
4142;Effets à recevoir
415;CLIENTS, EFFETS ESCOMPTES NON ECHUS
416;CREANCES CLIENTS LITIGIEUSES OU DOUTEUSES
4161;Créances litigieuses
4162;Créances douteuses
418;CLIENTS, PRODUITS A RECEVOIR
4181;Clients, factures à établir
4186;Clients, intérêts courus
419;CLIENTS CREDITEURS
4191;Clients, avances et acomptes reçus
4192;Clients-Groupe, avances et acomptes reçus
4194;Clients, dettes pour emballages et matériels consignés
4198;Rabais, Remises, Ristournes et autres avoirs à accorder
42;Personnel
421;PERSONNEL, AVANCES ET ACOMPTES
4211;Personnel, avances
4212;Personnel, acomptes
4213;Frais avancés et fournitures au personnel
422;PERSONNEL, REMUNERATIONS DUES
423;PERSONNEL, OPPOSITIONS, SAISIES-ARRÊTS
4231;Personnel, oppositions
4232;Personnel, saisies-arrêts
4233;Personnel, avis à tiers détenteur
424;PERSONNEL,ŒUVRES SOCIALES INTERNES
4241;Assistance médicale
4242;Allocations familiales
4245;Organismes sociaux rattachés à l'entité
4248;Autres œuvres sociales internes
425;REPRESENTANTS DU PERSONNEL
4251;Délégués du personnel
4252;Syndicats et Comités d'entreprise, d'établissement
4258;Autres représentants du personnel
426;PERSONNEL, PARTICIPATION AUX BENEFICES ET AU CAPITAL
4261;Participation aux bénéfices
4264;Participation au capital
427;PERSONNEL-DEPÔTS
428;PERSONNEL, CHARGES A PAYER ET PRODUITS A RECEVOIR
4281;Dettes provisionnées pour congés à payer
4286;Autres charges à payer
4287;Produits à recevoir
43;Organismes sociaux
431;SECURITE SOCIALE
4311;Prestations familiales
4312;Accidents du travail
4313;Caisse de retraite obligatoire
4314;Caisse de retraite facultative
4318;Autres cotisations sociales
432;CAISSES DE RETRAITE COMPLEMENTAIRE
433;AUTRES ORGANISMES SOCIAUX
4331;Mutuelle
4332;Assurances retraite
4333;Assurances et organismes de santé
438;ORGANISMES SOCIAUX, CHARGES A PAYER ET PRODUITS A RECEVOIR
4381;Charges sociales sur gratifications à payer
4382;Charges sociales sur congés à payer
4386;Autres charges à payer
4387;Produits à recevoir
44;Etat et Collectivités publiques
441;ETAT, IMPÔT SUR LES BENEFICES
442;ETAT, AUTRES IMPÔTS ET TAXES
4421;Impôts et taxes d'Etat
4422;Impôts et taxes pour les collectivités publiques
4423;Impôts et taxes recouvrables sur des obligataires
4424;Impôts et taxes recouvrables sur des associés
4426;Droits de douane
4428;Autres impôts et taxes
443;ETAT, T.V.A. FACTUREE
4431;T.V.A. facturée sur ventes
4432;T.V.A. facturée sur prestations de services
4433;T.V.A. facturée sur travaux
4434;T.V.A. facturée sur production livrée à soi-même
4435;T.V.A. sur factures à établir
444;ETAT, T.V.A. DUE OU CREDIT DE T.V.A
4441;Etat, T.V.A. due
4449;Etat, crédit de T.V.A. à reporter
445;ETAT, T.V.A. RECUPERABLE
4451;T.V.A. récupérable sur immobilisations
4452;T.V.A. récupérable sur achats
4453;T.V.A. récupérable sur transport
4454;T.V.A. récupérable sur services extérieurs et autres charges
4455;T.V.A. récupérable sur factures non parvenues
4456;T.V.A. transférée par d'autres entités
446;ETAT, AUTRES TAXES SUR LE CHIFFRE D'AFFAIRES
447;ETAT, IMPÔTS RETENUS A LA SOURCE
4471;Impôt général sur le revenu
4472;Impôts sur salaires
4473;Contribution nationale
4474;Contribution nationale de solidarité
4478;Autres impôts et contributions
448;ETAT, CHARGES A PAYER ET PRODUITS A RECEVOIR
4486;Charges à payer
4487;Produits à recevoir
449;ETAT, CREANCES ET DETTES DIVERSES
4491;Etat, obligations cautionnées
4492;Etat, avances et acomptes versés sur impôts
4493;Etat, fonds de dotation à recevoir
4494;Etat, subventions d'équipement à recevoir
4495;Etat, subventions d'exploitation à recevoir
4496;Etat, subventions d'équilibre à recevoir
4497;Etat avances sur subventions
4499;Etat, fonds réglementé provisionné
45;Organismes internationaux
451;OPERATIONS AVEC LES ORGANISMES AFRICAINS
452;OPERATIONS AVEC LES AUTRES ORGANISMES INTERNATIONAUX
458;ORGANISMES INTERNATIONAUX, FONDS DE DOTATION ET SUBVENTIONS A RECEVOIR
4581;Organismes internationaux, fonds de dotation à recevoir
4582;Organismes internationaux, subventions à recevoir
46;Apporteurs, Associés et Groupe
461;APPORTEURS, OPERATIONS SUR LE CAPITAL
4611;Apporteurs, apports en nature
4612;Apporteurs, apports en numéraire
4613;Apporteurs, capital souscrit appelé non versé
4614;Apporteurs, capital appelé non versé
4615;Apporteurs, versements reçus sur augmentation de capital
4616;Apporteurs, versements anticipés
4617;Apporteurs défaillants
4618;Apporteurs, autres apports
4619;Apporteurs, capital à rembourser
462;ASSOCIES , COMPTES COURANTS
4621;Principal
4626;Intérêts courus
463;ASSOCIES , OPERATIONS FAITES EN COMMUN
465;ASSOCIES , DIVIDENDES A PAYER
466;GROUPE, COMPTES COURANTS
467;APPORTEURS, RESTANT DÛ SUR CAPITAL APPELE
47;Débiteurs et créditeurs divers
471;DEBITEURS ET CREDITEURS DIVERS
4711;Débiteurs divers
4712;Créditeurs divers
4713;Obligataires
4714;Créances sur cessions de titres de placement
4715;Rémunérations d'administrateurs
4716;Compte du factor
4717;Débiteurs divers – retenues de garantie
4718;Apport, compte de restructuration
4719;Bons de souscription d'actions et d'obligations
472;VERSEMENTS RESTANT A EFFECTUER SUR TITRES DE PLACEMENT NON LIBERES
473;INTERMEDIAIRES – OPERATIONS FAITES POUR LE COMPTE DE TIERS
4731;Mandants
4732;Mandataires
4733;Commettants
4734;Commissionnaires
474;REPARTITION PERIODIQUE DES CHARGES ET DES PRODUITS
4746;Charges
4747;Produits
475;COMPTE TRANSITOIRE, AJUSTEMENT SPECIAL LIE A LA REVISION SYSCOHADA
4751;Compte actif
4752;Compte passif
